DATE,OPEN,HIGH,LOW,CLOSE
05/13/2022,33.630000,33.630000,33.630000,33.630000
05/16/2022,26.400000,26.400000,26.400000,26.400000
05/17/2022,24.670000,24.670000,24.670000,24.670000
05/18/2022,30.960000,30.960000,30.960000,30.960000
05/19/2022,29.460000,29.460000,29.460000,29.460000
05/20/2022,32.830000,32.830000,32.830000,32.830000
05/23/2022,26.160000,26.160000,26.160000,26.160000
05/24/2022,27.600000,27.600000,27.600000,27.600000
05/25/2022,27.030000,27.030000,27.030000,27.030000
05/26/2022,24.520000,24.520000,24.520000,24.520000
05/27/2022,27.820000,27.820000,27.820000,27.820000
05/31/2022,22.550000,22.550000,22.550000,22.550000
06/01/2022,22.240000,22.240000,22.240000,22.240000
06/02/2022,23.180000,23.180000,23.180000,23.180000
06/03/2022,22.680000,22.680000,22.680000,22.680000
06/06/2022,20.280000,20.280000,20.280000,20.280000
06/07/2022,19.150000,19.150000,19.150000,19.150000
06/08/2022,19.520000,19.520000,19.520000,19.520000
06/09/2022,31.040000,31.040000,31.040000,31.040000
06/10/2022,32.560000,32.560000,32.560000,32.560000
06/13/2022,38.770000,38.770000,38.770000,38.770000
06/14/2022,42.200000,42.200000,42.200000,42.200000
06/15/2022,39.000000,39.000000,39.000000,39.000000
06/16/2022,40.570000,40.570000,40.570000,40.570000
06/17/2022,36.730000,36.730000,36.730000,36.730000
06/21/2022,25.990000,25.990000,25.990000,25.990000
06/22/2022,24.740000,24.740000,24.740000,24.740000
06/23/2022,26.260000,26.260000,26.260000,26.260000
06/24/2022,27.690000,27.690000,27.690000,27.690000
06/27/2022,22.990000,22.990000,22.990000,22.990000
06/28/2022,25.190000,25.190000,25.190000,25.190000
06/29/2022,28.930000,28.930000,28.930000,28.930000
06/30/2022,26.750000,26.750000,26.750000,26.750000
07/01/2022,26.710000,26.710000,26.710000,26.710000
07/05/2022,23.850000,23.850000,23.850000,23.850000
07/06/2022,21.970000,21.970000,21.970000,21.970000
07/07/2022,22.710000,22.710000,22.710000,22.710000
07/08/2022,20.480000,20.480000,20.480000,20.480000
07/11/2022,18.540000,18.540000,18.540000,18.540000
07/12/2022,31.240000,31.240000,31.240000,31.240000
07/13/2022,24.950000,24.950000,24.950000,24.950000
07/14/2022,24.850000,24.850000,24.850000,24.850000
07/15/2022,20.290000,20.290000,20.290000,20.290000
07/18/2022,20.030000,20.030000,20.030000,20.030000
07/19/2022,20.660000,20.660000,20.660000,20.660000
07/20/2022,21.270000,21.270000,21.270000,21.270000
07/21/2022,19.810000,19.810000,19.810000,19.810000
07/22/2022,18.190000,18.190000,18.190000,18.190000
07/25/2022,17.400000,17.400000,17.400000,17.400000
07/26/2022,27.290000,27.290000,27.290000,27.290000
07/27/2022,23.130000,23.130000,23.130000,23.130000
07/28/2022,20.530000,20.530000,20.530000,20.530000
07/29/2022,17.910000,17.910000,17.910000,17.910000
08/01/2022,18.260000,18.260000,18.260000,18.260000
08/02/2022,20.280000,20.280000,20.280000,20.280000
08/03/2022,18.110000,18.110000,18.110000,18.110000
08/04/2022,18.260000,18.260000,18.260000,18.260000
08/05/2022,18.370000,18.370000,18.370000,18.370000
08/08/2022,15.540000,15.540000,15.540000,15.540000
08/09/2022,24.360000,24.360000,24.360000,24.360000
08/10/2022,15.840000,15.840000,15.840000,15.840000
08/11/2022,16.500000,16.500000,16.500000,16.500000
08/12/2022,16.490000,16.490000,16.490000,16.490000
08/15/2022,14.720000,14.720000,14.720000,14.720000
08/16/2022,15.390000,15.390000,15.390000,15.390000
08/17/2022,16.100000,16.100000,16.100000,16.100000
08/18/2022,16.710000,16.710000,16.710000,16.710000
08/19/2022,17.040000,17.040000,17.040000,17.040000
08/22/2022,18.410000,18.410000,18.410000,18.410000
08/23/2022,18.060000,18.060000,18.060000,18.060000
08/24/2022,16.660000,16.660000,16.660000,16.660000
08/25/2022,24.950000,24.950000,24.950000,24.950000
08/26/2022,25.140000,25.140000,25.140000,25.140000
08/29/2022,20.660000,20.660000,20.660000,20.660000
08/30/2022,21.440000,21.440000,21.440000,21.440000
08/31/2022,21.960000,21.960000,21.960000,21.960000
09/01/2022,26.200000,26.200000,26.200000,26.200000
09/02/2022,26.460000,26.460000,26.460000,26.460000
09/06/2022,22.330000,22.330000,22.330000,22.330000
09/07/2022,22.450000,22.450000,22.450000,22.450000
09/08/2022,19.540000,19.540000,19.540000,19.540000
09/09/2022,20.350000,20.350000,20.350000,20.350000
09/12/2022,29.750000,29.750000,29.750000,29.750000
09/13/2022,27.780000,27.780000,27.780000,27.780000
09/14/2022,24.140000,24.140000,24.140000,24.140000
09/15/2022,24.700000,24.700000,24.700000,24.700000
09/16/2022,26.070000,26.070000,26.070000,26.070000
09/19/2022,20.980000,20.980000,20.980000,20.980000
09/20/2022,37.070000,37.070000,37.070000,37.070000
09/21/2022,31.920000,31.920000,31.920000,31.920000
09/22/2022,26.380000,26.380000,26.380000,26.380000
09/23/2022,32.360000,32.360000,32.360000,32.360000
09/26/2022,31.310000,31.310000,31.310000,31.310000
09/27/2022,28.360000,28.360000,28.360000,28.360000
09/28/2022,27.740000,27.740000,27.740000,27.740000
09/29/2022,34.430000,34.430000,34.430000,34.430000
09/30/2022,32.920000,32.920000,32.920000,32.920000
10/03/2022,26.040000,26.040000,26.040000,26.040000
10/04/2022,25.220000,25.220000,25.220000,25.220000
10/05/2022,23.550000,23.550000,23.550000,23.550000
