symbol,ex_date,amount
AAPL,2012-08-09,0.094643
AAPL,2012-11-07,0.094643
AAPL,2013-02-07,0.094643
AAPL,2013-05-09,0.108929
AAPL,2013-08-08,0.108929
AAPL,2013-11-06,0.108929
AAPL,2014-02-06,0.108929
AAPL,2014-05-08,0.1175
AAPL,2014-08-07,0.1175
AAPL,2014-11-06,0.1175
AAPL,2015-02-05,0.1175
AAPL,2015-05-07,0.13
AAPL,2015-08-06,0.13
AAPL,2015-11-05,0.13
AAPL,2016-02-04,0.13
AAPL,2016-05-05,0.1425
AAPL,2016-08-04,0.1425
AAPL,2016-11-03,0.1425
AAPL,2017-02-09,0.1425
AAPL,2017-05-11,0.1575
AAPL,2017-08-10,0.1575
AAPL,2017-11-10,0.1575
AAPL,2018-02-09,0.1575
AAPL,2018-05-11,0.1825
AAPL,2018-08-10,0.1825
AAPL,2018-11-08,0.1825
AAPL,2019-02-08,0.1825
AAPL,2019-05-10,0.1925
AAPL,2019-08-09,0.1925
AAPL,2019-11-07,0.1925
AAPL,2020-02-07,0.1925
AAPL,2020-05-08,0.205
AAPL,2020-08-07,0.205
AAPL,2020-11-06,0.205
AAPL,2021-02-05,0.205
AAPL,2021-05-07,0.22
AAPL,2021-08-06,0.22
AAPL,2021-11-05,0.22
AAPL,2022-02-04,0.22
AAPL,2022-05-06,0.23
AAPL,2022-08-05,0.23
AAPL,2022-11-04,0.23
AAPL,2023-02-10,0.23
AAPL,2023-05-12,0.24
AAPL,2023-08-11,0.24
AAPL,2023-11-10,0.24
AAPL,2024-02-09,0.24
AAPL,2024-05-10,0.25
AAPL,2024-08-12,0.25
AAPL,2024-11-08,0.25
AAPL,2025-02-10,0.25
AAPL,2025-05-12,0.26
AAPL,2025-08-11,0.26
AAPL,2025-11-10,0.26
AAPL,2026-02-09,0.26
AAPL,2026-05-11,0.27
AAPL,2026-08-10,0.27
ABBV,2013-01-11,0.4
ABBV,2013-04-11,0.4
ABBV,2013-07-11,0.4
ABBV,2013-10-10,0.4
ABBV,2014-01-13,0.4
ABBV,2014-04-11,0.42
ABBV,2014-07-11,0.42
ABBV,2014-10-10,0.42
ABBV,2015-01-13,0.49
ABBV,2015-04-13,0.51
ABBV,2015-07-13,0.51
ABBV,2015-10-13,0.51
ABBV,2016-01-13,0.57
ABBV,2016-04-13,0.57
ABBV,2016-07-13,0.57
ABBV,2016-10-12,0.57
ABBV,2017-01-11,0.64
ABBV,2017-04-11,0.64
ABBV,2017-07-12,0.64
ABBV,2017-10-12,0.64
ABBV,2018-01-11,0.71
ABBV,2018-04-12,0.96
ABBV,2018-07-12,0.96
ABBV,2018-10-12,0.96
ABBV,2019-01-14,1.07
ABBV,2019-04-12,1.07
ABBV,2019-07-12,1.07
ABBV,2019-10-11,1.07
ABBV,2020-01-14,1.18
ABBV,2020-04-14,1.18
ABBV,2020-07-14,1.18
ABBV,2020-10-14,1.18
ABBV,2021-01-14,1.3
ABBV,2021-04-14,1.3
ABBV,2021-07-14,1.3
ABBV,2021-10-14,1.3
ABBV,2022-01-13,1.41
ABBV,2022-04-13,1.41
ABBV,2022-07-14,1.41
ABBV,2022-10-13,1.41
ABBV,2023-01-12,1.48
ABBV,2023-04-13,1.48
ABBV,2023-07-13,1.48
ABBV,2023-10-12,1.48
ABBV,2024-01-12,1.55
ABBV,2024-04-12,1.55
ABBV,2024-07-15,1.55
ABBV,2024-10-15,1.55
ABBV,2025-01-15,1.64
ABBV,2025-04-15,1.64
ABBV,2025-07-15,1.64
ABBV,2025-10-15,1.64
ABBV,2026-01-16,1.73
ABBV,2026-04-15,1.73
ABBV,2026-07-15,1.73
AVGO,2010-12-13,0.007
AVGO,2011-03-16,0.008
AVGO,2011-06-15,0.009
AVGO,2011-09-15,0.011
AVGO,2011-12-15,0.012
AVGO,2012-03-15,0.013
AVGO,2012-06-14,0.015
AVGO,2012-09-18,0.016
AVGO,2012-12-13,0.017
AVGO,2013-03-21,0.019
AVGO,2013-06-13,0.021
AVGO,2013-09-17,0.023
AVGO,2013-12-18,0.025
AVGO,2014-03-18,0.027
AVGO,2014-06-17,0.029
AVGO,2014-09-17,0.032
AVGO,2014-12-17,0.035
AVGO,2015-03-18,0.038
AVGO,2015-06-17,0.04
AVGO,2015-09-16,0.042
AVGO,2015-12-16,0.044
AVGO,2016-03-16,0.049
AVGO,2016-06-15,0.05
AVGO,2016-09-15,0.051
AVGO,2016-12-14,0.102
AVGO,2017-03-16,0.102
AVGO,2017-06-15,0.102
AVGO,2017-09-18,0.102
AVGO,2017-12-18,0.175
AVGO,2018-03-21,0.35
AVGO,2018-06-19,0.35
AVGO,2018-09-18,0.175
AVGO,2018-12-18,0.265
AVGO,2019-03-20,0.265
AVGO,2019-06-21,0.265
AVGO,2019-09-20,0.265
AVGO,2019-12-20,0.325
AVGO,2020-03-20,0.325
AVGO,2020-06-19,0.325
AVGO,2020-09-21,0.325
AVGO,2020-12-18,0.36
AVGO,2021-03-19,0.36
AVGO,2021-06-21,0.36
AVGO,2021-09-21,0.36
AVGO,2021-12-21,0.41
AVGO,2022-03-21,0.41
AVGO,2022-06-21,0.41
AVGO,2022-09-21,0.41
AVGO,2022-12-19,0.46
AVGO,2023-03-21,0.46
AVGO,2023-06-21,0.46
AVGO,2023-09-20,0.46
AVGO,2023-12-19,0.525
AVGO,2024-03-20,0.525
AVGO,2024-06-24,0.525
AVGO,2024-09-19,0.53
AVGO,2024-12-23,0.59
AVGO,2025-03-20,0.59
AVGO,2025-06-20,0.59
AVGO,2025-09-22,0.59
AVGO,2025-12-22,0.65
AVGO,2026-03-23,0.65
AVGO,2026-06-22,0.65
BA,2006-11-08,0.3
BA,2007-02-07,0.35
BA,2007-05-09,0.35
BA,2007-08-08,0.35
BA,2007-11-07,0.35
BA,2008-02-06,0.4
BA,2008-05-07,0.4
